,tenure,MonthlyCharges,Contract,InternetService,Churn_Probability,Risk_Level,Monthly_Revenue
872,66,19.95,Two year,No,90.0,High Risk,19.95
98,52,21.0,Two year,No,90.0,High Risk,21.0
417,40,24.8,Two year,No,89.0,High Risk,24.8
900,2,19.5,Month-to-month,No,89.0,High Risk,19.5
828,60,90.95,One year,Fiber optic,89.0,High Risk,90.95
816,2,86.2,Month-to-month,Fiber optic,89.0,High Risk,86.2
911,15,89.0,Month-to-month,Fiber optic,88.0,High Risk,89.0
940,24,21.05,One year,No,88.0,High Risk,21.05
435,26,44.45,Month-to-month,DSL,87.0,High Risk,44.45
154,6,19.7,Month-to-month,No,87.0,High Risk,19.7
814,5,20.05,Month-to-month,No,87.0,High Risk,20.05
1286,1,74.1,One year,DSL,87.0,High Risk,74.1
1097,25,90.4,One year,Fiber optic,86.5,High Risk,90.4
1197,15,19.45,Month-to-month,No,86.0,High Risk,19.45
746,72,114.95,Two year,Fiber optic,85.0,High Risk,114.95
304,38,81.85,Month-to-month,Fiber optic,85.0,High Risk,81.85
41,70,69.2,Two year,DSL,85.0,High Risk,69.2
1034,71,81.85,Two year,DSL,84.0,High Risk,81.85
360,5,20.2,Month-to-month,No,84.0,High Risk,20.2
987,1,19.75,Month-to-month,No,84.0,High Risk,19.75
182,8,84.5,Month-to-month,Fiber optic,84.0,High Risk,84.5
593,30,84.3,Month-to-month,Fiber optic,84.0,High Risk,84.3
1355,9,19.5,Month-to-month,No,84.0,High Risk,19.5
952,22,55.1,Month-to-month,DSL,84.0,High Risk,55.1
710,1,19.55,Month-to-month,No,83.0,High Risk,19.55
1288,64,19.55,Two year,No,83.0,High Risk,19.55
566,15,101.9,One year,Fiber optic,83.0,High Risk,101.9
34,1,45.25,Month-to-month,DSL,83.0,High Risk,45.25
542,1,19.55,Month-to-month,No,83.0,High Risk,19.55
1116,38,24.25,One year,No,83.0,High Risk,24.25
568,35,100.25,Month-to-month,Fiber optic,83.0,High Risk,100.25
604,32,109.55,One year,Fiber optic,82.0,High Risk,109.55
1127,23,66.25,One year,DSL,82.0,High Risk,66.25
87,48,20.65,Two year,No,81.0,High Risk,20.65
630,43,110.75,Month-to-month,Fiber optic,81.0,High Risk,110.75
1040,14,90.45,Month-to-month,Fiber optic,81.0,High Risk,90.45
749,63,90.05,One year,Fiber optic,81.0,High Risk,90.05
581,1,75.3,Month-to-month,Fiber optic,80.0,High Risk,75.3
495,22,43.75,One year,DSL,80.0,High Risk,43.75
797,20,25.55,Month-to-month,No,80.0,High Risk,25.55
69,10,79.85,Month-to-month,Fiber optic,80.0,High Risk,79.85
278,14,55.0,Month-to-month,DSL,80.0,High Risk,55.0
979,35,54.95,One year,DSL,80.0,High Risk,54.95
412,29,74.95,Month-to-month,Fiber optic,79.7,High Risk,74.95
533,68,107.15,One year,Fiber optic,79.0,High Risk,107.15
711,20,81.0,Month-to-month,Fiber optic,79.0,High Risk,81.0
693,3,75.1,Month-to-month,Fiber optic,79.0,High Risk,75.1
124,4,20.85,Month-to-month,No,79.0,High Risk,20.85
1327,59,99.5,One year,Fiber optic,78.0,High Risk,99.5
1213,69,20.2,Two year,No,78.0,High Risk,20.2
1222,64,69.25,Two year,DSL,78.0,High Risk,69.25
764,65,19.9,Two year,No,78.0,High Risk,19.9
399,23,20.05,One year,No,78.0,High Risk,20.05
728,30,91.7,Month-to-month,Fiber optic,78.0,High Risk,91.7
621,62,92.05,One year,Fiber optic,78.0,High Risk,92.05
454,61,24.4,Two year,No,78.0,High Risk,24.4
920,60,24.15,One year,No,78.0,High Risk,24.15
276,52,105.05,Month-to-month,Fiber optic,78.0,High Risk,105.05
1274,62,101.15,Two year,Fiber optic,77.0,High Risk,101.15
538,69,95.65,One year,Fiber optic,77.0,High Risk,95.65
713,14,86.0,Month-to-month,Fiber optic,76.0,High Risk,86.0
450,64,24.7,One year,No,76.0,High Risk,24.7
735,32,50.6,Month-to-month,DSL,76.0,High Risk,50.6
1211,11,66.35,Month-to-month,DSL,75.0,High Risk,66.35
1223,2,75.9,Month-to-month,Fiber optic,75.0,High Risk,75.9
427,10,85.95,Month-to-month,Fiber optic,74.0,High Risk,85.95
86,35,62.15,One year,DSL,74.0,High Risk,62.15
647,50,69.65,One year,DSL,74.0,High Risk,69.65
1092,70,64.95,Two year,DSL,74.0,High Risk,64.95
1088,17,100.45,Month-to-month,Fiber optic,74.0,High Risk,100.45
310,1,19.25,Month-to-month,No,73.0,High Risk,19.25
235,2,54.4,Month-to-month,DSL,73.0,High Risk,54.4
1138,11,65.15,Month-to-month,DSL,73.0,High Risk,65.15
774,33,95.8,One year,Fiber optic,73.0,High Risk,95.8
1379,70,44.6,Two year,DSL,73.0,High Risk,44.6
839,44,20.4,Two year,No,73.0,High Risk,20.4
51,15,99.1,Month-to-month,Fiber optic,73.0,High Risk,99.1
1,34,56.95,One year,DSL,72.0,High Risk,56.95
1053,5,39.5,Month-to-month,DSL,72.0,High Risk,39.5
943,72,65.5,Two year,DSL,71.0,High Risk,65.5
567,71,73.5,Two year,DSL,71.0,High Risk,73.5
678,3,107.95,Month-to-month,Fiber optic,71.0,High Risk,107.95
794,6,45.0,Month-to-month,DSL,71.0,High Risk,45.0
13,49,103.7,Month-to-month,Fiber optic,71.0,High Risk,103.7
1133,2,19.25,Month-to-month,No,71.0,High Risk,19.25
224,12,19.35,One year,No,71.0,High Risk,19.35
240,72,86.6,Two year,DSL,71.0,High Risk,86.6
586,52,63.25,Two year,DSL,71.0,High Risk,63.25
121,6,20.7,Month-to-month,No,71.0,High Risk,20.7
518,27,75.2,Month-to-month,Fiber optic,71.0,High Risk,75.2
973,44,30.35,Month-to-month,DSL,71.0,High Risk,30.35
1066,47,19.65,Two year,No,71.0,High Risk,19.65
488,0,52.55,Two year,DSL,71.0,High Risk,52.55
322,1,44.8,Month-to-month,DSL,71.0,High Risk,44.8
359,42,97.1,One year,Fiber optic,70.0,High Risk,97.1
557,38,70.6,One year,DSL,69.0,High Risk,70.6
211,1,25.25,Month-to-month,DSL,69.0,High Risk,25.25
1117,52,89.45,Two year,Fiber optic,69.0,High Risk,89.45
798,1,20.0,Month-to-month,No,69.0,High Risk,20.0
383,1,90.85,Month-to-month,Fiber optic,69.0,High Risk,90.85
1118,48,105.25,Month-to-month,Fiber optic,69.0,High Risk,105.25
156,22,84.15,Month-to-month,Fiber optic,69.0,High Risk,84.15
847,12,33.15,One year,DSL,69.0,High Risk,33.15
29,17,64.7,Month-to-month,DSL,69.0,High Risk,64.7
1093,71,100.45,Two year,Fiber optic,69.0,High Risk,100.45
571,47,59.6,Two year,DSL,69.0,High Risk,59.6
484,8,83.55,Month-to-month,Fiber optic,68.0,High Risk,83.55
1399,14,19.55,One year,No,68.0,High Risk,19.55
743,61,24.1,Two year,No,68.0,High Risk,24.1
817,55,103.7,One year,Fiber optic,68.0,High Risk,103.7
1058,2,89.55,Month-to-month,Fiber optic,67.8,High Risk,89.55
1298,24,57.6,One year,DSL,67.0,High Risk,57.6
674,52,49.15,Month-to-month,DSL,67.0,High Risk,49.15
370,33,20.6,One year,No,67.0,High Risk,20.6
1215,3,80.3,Month-to-month,Fiber optic,67.0,High Risk,80.3
1074,1,21.1,Month-to-month,No,67.0,High Risk,21.1
1373,1,19.85,Month-to-month,No,67.0,High Risk,19.85
20,1,39.65,Month-to-month,DSL,67.0,High Risk,39.65
1084,52,19.6,One year,No,66.0,High Risk,19.6
321,72,60.0,Two year,DSL,66.0,High Risk,60.0
1250,56,103.2,Two year,Fiber optic,66.0,High Risk,103.2
1334,1,25.2,Month-to-month,DSL,66.0,High Risk,25.2
725,9,21.25,Month-to-month,No,66.0,High Risk,21.25
1048,29,19.8,One year,No,66.0,High Risk,19.8
634,40,54.55,One year,DSL,66.0,High Risk,54.55
502,70,65.2,One year,DSL,65.5,High Risk,65.2
1229,61,75.35,Two year,DSL,65.0,High Risk,75.35
1007,2,68.95,Month-to-month,Fiber optic,65.0,High Risk,68.95
880,10,110.1,Month-to-month,Fiber optic,65.0,High Risk,110.1
1217,62,23.75,One year,No,65.0,High Risk,23.75
1056,5,80.0,Month-to-month,Fiber optic,65.0,High Risk,80.0
285,22,76.0,One year,Fiber optic,65.0,High Risk,76.0
1148,2,95.15,Month-to-month,Fiber optic,65.0,High Risk,95.15
45,49,84.5,Month-to-month,Fiber optic,65.0,High Risk,84.5
27,1,30.2,Month-to-month,DSL,65.0,High Risk,30.2
949,35,20.5,Two year,No,65.0,High Risk,20.5
882,6,83.9,Month-to-month,Fiber optic,65.0,High Risk,83.9
1171,60,94.4,One year,Fiber optic,65.0,High Risk,94.4
264,45,113.3,One year,Fiber optic,64.3,High Risk,113.3
921,12,20.45,Month-to-month,No,64.0,High Risk,20.45
493,61,64.05,One year,DSL,64.0,High Risk,64.05
245,4,75.35,Month-to-month,Fiber optic,64.0,High Risk,75.35
948,35,99.05,Month-to-month,Fiber optic,64.0,High Risk,99.05
685,1,49.9,Month-to-month,DSL,63.0,High Risk,49.9
670,53,19.85,One year,No,63.0,High Risk,19.85
938,65,108.05,One year,Fiber optic,63.0,High Risk,108.05
36,5,69.7,Month-to-month,Fiber optic,63.0,High Risk,69.7
1172,32,100.4,Month-to-month,Fiber optic,63.0,High Risk,100.4
319,35,91.5,Month-to-month,Fiber optic,63.0,High Risk,91.5
1300,72,110.6,Two year,Fiber optic,63.0,High Risk,110.6
113,37,76.5,Month-to-month,Fiber optic,62.0,High Risk,76.5
100,1,20.2,Month-to-month,No,62.0,High Risk,20.2
1249,1,45.05,Month-to-month,DSL,62.0,High Risk,45.05
192,69,19.75,Two year,No,62.0,High Risk,19.75
573,56,100.3,One year,Fiber optic,62.0,High Risk,100.3
1139,14,19.65,One year,No,62.0,High Risk,19.65
684,1,71.1,Month-to-month,Fiber optic,62.0,High Risk,71.1
17,71,106.7,Two year,Fiber optic,62.0,High Risk,106.7
603,46,108.65,Two year,Fiber optic,61.0,High Risk,108.65
1082,0,25.75,Two year,No,61.0,High Risk,25.75
174,32,20.55,One year,No,61.0,High Risk,20.55
1158,60,94.1,Month-to-month,Fiber optic,60.5,High Risk,94.1
327,2,70.35,Month-to-month,Fiber optic,60.0,Medium Risk,70.35
589,71,90.4,Two year,DSL,60.0,Medium Risk,90.4
369,72,112.6,Two year,Fiber optic,59.0,Medium Risk,112.6
1338,1,20.15,Month-to-month,No,59.0,Medium Risk,20.15
523,23,75.6,Month-to-month,Fiber optic,59.0,Medium Risk,75.6
707,27,104.65,One year,Fiber optic,59.0,Medium Risk,104.65
760,1,20.8,Month-to-month,No,59.0,Medium Risk,20.8
389,1,44.0,Month-to-month,DSL,59.0,Medium Risk,44.0
950,2,44.95,Month-to-month,DSL,59.0,Medium Risk,44.95
1187,71,104.05,Two year,Fiber optic,58.0,Medium Risk,104.05
639,10,85.25,Month-to-month,Fiber optic,58.0,Medium Risk,85.25
228,30,89.9,Month-to-month,Fiber optic,58.0,Medium Risk,89.9
966,7,19.25,Month-to-month,No,58.0,Medium Risk,19.25
601,2,19.95,One year,No,58.0,Medium Risk,19.95
1382,46,24.95,One year,No,58.0,Medium Risk,24.95
1207,9,69.4,Month-to-month,DSL,58.0,Medium Risk,69.4
712,58,24.7,Two year,No,58.0,Medium Risk,24.7
1388,12,58.35,Month-to-month,DSL,57.0,Medium Risk,58.35
993,10,26.1,Two year,No,57.0,Medium Risk,26.1
111,52,57.95,One year,DSL,57.0,Medium Risk,57.95
408,1,19.9,Month-to-month,No,57.0,Medium Risk,19.9
426,52,105.1,One year,Fiber optic,57.0,Medium Risk,105.1
1377,72,82.3,Two year,DSL,57.0,Medium Risk,82.3
266,50,24.9,Two year,No,57.0,Medium Risk,24.9
55,18,95.45,Month-to-month,Fiber optic,57.0,Medium Risk,95.45
1320,32,94.8,One year,Fiber optic,57.0,Medium Risk,94.8
663,65,69.55,Two year,DSL,57.0,Medium Risk,69.55
114,64,54.6,Two year,DSL,57.0,Medium Risk,54.6
619,7,78.55,Month-to-month,Fiber optic,56.8,Medium Risk,78.55
855,62,100.15,One year,Fiber optic,56.8,Medium Risk,100.15
387,42,54.75,One year,DSL,56.0,Medium Risk,54.75
1225,16,49.95,Month-to-month,DSL,56.0,Medium Risk,49.95
591,46,24.9,One year,No,56.0,Medium Risk,24.9
508,6,80.5,Month-to-month,Fiber optic,56.0,Medium Risk,80.5
976,1,69.9,Month-to-month,Fiber optic,56.0,Medium Risk,69.9
196,24,24.1,Two year,No,56.0,Medium Risk,24.1
1102,3,56.15,Month-to-month,DSL,56.0,Medium Risk,56.15
997,4,94.3,Month-to-month,Fiber optic,56.0,Medium Risk,94.3
801,10,98.5,Month-to-month,Fiber optic,56.0,Medium Risk,98.5
491,2,59.0,Month-to-month,DSL,56.0,Medium Risk,59.0
996,34,70.0,Month-to-month,Fiber optic,55.8,Medium Risk,70.0
1333,50,35.4,One year,DSL,55.2,Medium Risk,35.4
809,1,69.55,Month-to-month,Fiber optic,55.0,Medium Risk,69.55
1346,14,87.25,Month-to-month,Fiber optic,55.0,Medium Risk,87.25
88,46,19.95,Two year,No,55.0,Medium Risk,19.95
357,64,105.25,Two year,Fiber optic,55.0,Medium Risk,105.25
863,3,95.1,Month-to-month,Fiber optic,55.0,Medium Risk,95.1
548,50,101.9,One year,Fiber optic,55.0,Medium Risk,101.9
556,1,19.9,Month-to-month,No,55.0,Medium Risk,19.9
320,54,82.45,One year,DSL,55.0,Medium Risk,82.45
116,36,31.05,Two year,DSL,55.0,Medium Risk,31.05
1224,1,45.85,Month-to-month,DSL,54.5,Medium Risk,45.85
410,3,81.35,Month-to-month,Fiber optic,54.2,Medium Risk,81.35
1106,63,97.45,Two year,Fiber optic,54.0,Medium Risk,97.45
904,67,81.35,Two year,DSL,54.0,Medium Risk,81.35
1022,5,84.7,Month-to-month,Fiber optic,54.0,Medium Risk,84.7
371,2,85.65,Month-to-month,Fiber optic,54.0,Medium Risk,85.65
280,6,55.15,Month-to-month,DSL,54.0,Medium Risk,55.15
1270,63,24.65,Two year,No,54.0,Medium Risk,24.65
818,21,111.2,Month-to-month,Fiber optic,54.0,Medium Risk,111.2
386,55,85.45,Month-to-month,Fiber optic,54.0,Medium Risk,85.45
544,13,45.55,Month-to-month,DSL,54.0,Medium Risk,45.55
572,11,64.9,One year,DSL,54.0,Medium Risk,64.9
94,72,100.9,Two year,Fiber optic,54.0,Medium Risk,100.9
231,50,93.5,Month-to-month,Fiber optic,54.0,Medium Risk,93.5
65,3,75.3,Month-to-month,DSL,54.0,Medium Risk,75.3
142,61,101.05,Two year,Fiber optic,53.8,Medium Risk,101.05
101,1,19.45,Month-to-month,No,53.0,Medium Risk,19.45
195,20,96.55,Month-to-month,Fiber optic,53.0,Medium Risk,96.55
42,17,20.75,One year,No,53.0,Medium Risk,20.75
1123,25,61.6,One year,DSL,53.0,Medium Risk,61.6
151,7,95.0,Month-to-month,Fiber optic,53.0,Medium Risk,95.0
907,19,65.35,One year,DSL,53.0,Medium Risk,65.35
980,20,19.5,Month-to-month,No,53.0,Medium Risk,19.5
539,60,80.6,Two year,DSL,53.0,Medium Risk,80.6
128,1,19.75,Month-to-month,No,53.0,Medium Risk,19.75
1368,54,84.4,One year,Fiber optic,53.0,Medium Risk,84.4
1061,72,112.4,Two year,Fiber optic,52.0,Medium Risk,112.4
1395,41,73.0,One year,DSL,52.0,Medium Risk,73.0
477,7,75.7,Month-to-month,DSL,52.0,Medium Risk,75.7
1112,71,89.85,Two year,DSL,52.0,Medium Risk,89.85
311,22,89.05,Month-to-month,Fiber optic,52.0,Medium Risk,89.05
449,72,105.5,Two year,Fiber optic,52.0,Medium Risk,105.5
958,25,81.75,Month-to-month,DSL,52.0,Medium Risk,81.75
799,62,96.75,One year,Fiber optic,52.0,Medium Risk,96.75
960,7,29.8,Month-to-month,DSL,52.0,Medium Risk,29.8
830,50,108.55,One year,Fiber optic,52.0,Medium Risk,108.55
1186,58,61.05,One year,DSL,52.0,Medium Risk,61.05
1191,35,69.15,Two year,DSL,52.0,Medium Risk,69.15
1269,62,115.55,Two year,Fiber optic,52.0,Medium Risk,115.55
159,10,25.7,Two year,No,52.0,Medium Risk,25.7
1267,64,76.1,Two year,DSL,52.0,Medium Risk,76.1
336,43,104.6,Two year,Fiber optic,51.2,Medium Risk,104.6
928,68,103.75,Two year,Fiber optic,51.1,Medium Risk,103.75
275,5,85.4,Month-to-month,Fiber optic,51.0,Medium Risk,85.4
1390,72,68.75,Two year,DSL,51.0,Medium Risk,68.75
569,11,40.4,One year,DSL,51.0,Medium Risk,40.4
296,71,76.05,Two year,Fiber optic,51.0,Medium Risk,76.05
1208,1,80.25,Month-to-month,Fiber optic,51.0,Medium Risk,80.25
925,32,76.3,Month-to-month,DSL,51.0,Medium Risk,76.3
734,27,90.15,Month-to-month,Fiber optic,51.0,Medium Risk,90.15
1140,13,88.95,Two year,DSL,51.0,Medium Risk,88.95
1012,9,95.9,Month-to-month,Fiber optic,51.0,Medium Risk,95.9
1019,23,19.5,Month-to-month,No,50.3,Medium Risk,19.5
1064,14,55.7,One year,DSL,50.2,Medium Risk,55.7
718,26,50.35,Month-to-month,DSL,50.0,Medium Risk,50.35
349,64,97.0,One year,Fiber optic,50.0,Medium Risk,97.0
284,18,95.15,Month-to-month,Fiber optic,50.0,Medium Risk,95.15
187,3,30.4,Month-to-month,DSL,50.0,Medium Risk,30.4
514,30,95.0,Month-to-month,Fiber optic,50.0,Medium Risk,95.0
1236,3,76.95,Month-to-month,Fiber optic,50.0,Medium Risk,76.95
1233,70,24.7,Two year,No,50.0,Medium Risk,24.7
372,24,35.75,Two year,DSL,50.0,Medium Risk,35.75
668,4,45.65,Month-to-month,DSL,49.0,Medium Risk,45.65
422,29,100.55,One year,Fiber optic,49.0,Medium Risk,100.55
559,1,49.3,Month-to-month,DSL,49.0,Medium Risk,49.3
1078,59,79.2,Two year,Fiber optic,49.0,Medium Risk,79.2
246,41,65.0,One year,DSL,49.0,Medium Risk,65.0
46,2,49.25,Month-to-month,DSL,49.0,Medium Risk,49.25
392,2,44.3,Month-to-month,DSL,49.0,Medium Risk,44.3
1173,1,19.85,Month-to-month,No,49.0,Medium Risk,19.85
72,64,111.6,Two year,Fiber optic,49.0,Medium Risk,111.6
302,4,90.4,Month-to-month,Fiber optic,49.0,Medium Risk,90.4
194,59,19.3,Two year,No,49.0,Medium Risk,19.3
763,72,66.85,Two year,DSL,49.0,Medium Risk,66.85
1120,20,70.55,Month-to-month,Fiber optic,49.0,Medium Risk,70.55
411,46,24.45,One year,No,49.0,Medium Risk,24.45
1146,29,35.6,One year,DSL,49.0,Medium Risk,35.6
26,47,99.35,Month-to-month,Fiber optic,49.0,Medium Risk,99.35
1126,7,74.65,Month-to-month,Fiber optic,49.0,Medium Risk,74.65
425,55,51.65,Month-to-month,DSL,48.6,Medium Risk,51.65
688,52,30.1,One year,DSL,48.0,Medium Risk,30.1
552,55,19.35,Two year,No,48.0,Medium Risk,19.35
1391,29,85.8,Month-to-month,Fiber optic,48.0,Medium Risk,85.8
241,72,109.2,Two year,Fiber optic,48.0,Medium Risk,109.2
641,43,56.15,Month-to-month,DSL,48.0,Medium Risk,56.15
1104,42,19.55,One year,No,48.0,Medium Risk,19.55
490,63,104.8,Two year,Fiber optic,48.0,Medium Risk,104.8
459,1,75.1,Month-to-month,Fiber optic,48.0,Medium Risk,75.1
456,28,92.9,One year,Fiber optic,48.0,Medium Risk,92.9
854,68,20.5,Two year,No,48.0,Medium Risk,20.5
480,11,19.65,Two year,No,47.0,Medium Risk,19.65
1094,41,68.5,One year,DSL,47.0,Medium Risk,68.5
833,37,88.8,Month-to-month,Fiber optic,47.0,Medium Risk,88.8
957,4,56.75,Month-to-month,DSL,47.0,Medium Risk,56.75
628,72,111.65,Two year,Fiber optic,47.0,Medium Risk,111.65
555,56,68.75,One year,DSL,46.0,Medium Risk,68.75
758,15,85.9,Month-to-month,Fiber optic,46.0,Medium Risk,85.9
622,40,85.05,One year,Fiber optic,46.0,Medium Risk,85.05
723,3,45.35,Month-to-month,DSL,46.0,Medium Risk,45.35
30,71,96.35,Two year,Fiber optic,46.0,Medium Risk,96.35
1073,7,98.05,Month-to-month,Fiber optic,46.0,Medium Risk,98.05
180,1,29.95,Month-to-month,DSL,46.0,Medium Risk,29.95
1396,64,100.05,One year,Fiber optic,46.0,Medium Risk,100.05
1035,66,25.1,Two year,No,46.0,Medium Risk,25.1
1067,24,89.25,Month-to-month,Fiber optic,45.5,Medium Risk,89.25
729,65,74.2,Two year,DSL,45.0,Medium Risk,74.2
1200,37,104.5,One year,Fiber optic,45.0,Medium Risk,104.5
896,71,116.1,Two year,Fiber optic,45.0,Medium Risk,116.1
770,11,20.45,Month-to-month,No,45.0,Medium Risk,20.45
525,52,91.25,One year,Fiber optic,45.0,Medium Risk,91.25
936,0,80.85,Two year,DSL,45.0,Medium Risk,80.85
645,20,94.55,Month-to-month,Fiber optic,45.0,Medium Risk,94.55
1159,3,80.4,Month-to-month,Fiber optic,45.0,Medium Risk,80.4
821,43,79.15,Two year,DSL,45.0,Medium Risk,79.15
1295,70,80.6,Two year,DSL,45.0,Medium Risk,80.6
244,13,54.8,Month-to-month,DSL,45.0,Medium Risk,54.8
826,7,95.6,Month-to-month,Fiber optic,44.0,Medium Risk,95.6
527,58,94.7,One year,Fiber optic,44.0,Medium Risk,94.7
90,30,82.05,Month-to-month,Fiber optic,44.0,Medium Risk,82.05
373,56,99.75,One year,Fiber optic,44.0,Medium Risk,99.75
888,37,91.2,One year,Fiber optic,44.0,Medium Risk,91.2
218,65,84.2,Two year,DSL,44.0,Medium Risk,84.2
530,24,21.1,Two year,No,44.0,Medium Risk,21.1
1038,56,80.9,One year,Fiber optic,44.0,Medium Risk,80.9
413,51,87.35,Month-to-month,Fiber optic,44.0,Medium Risk,87.35
866,62,39.0,Two year,DSL,44.0,Medium Risk,39.0
198,72,112.25,Two year,Fiber optic,44.0,Medium Risk,112.25
178,15,105.35,Month-to-month,Fiber optic,43.0,Medium Risk,105.35
64,9,94.4,Month-to-month,Fiber optic,43.0,Medium Risk,94.4
1101,20,20.0,Month-to-month,No,43.0,Medium Risk,20.0
9,62,56.15,One year,DSL,43.0,Medium Risk,56.15
381,1,50.65,Month-to-month,DSL,43.0,Medium Risk,50.65
1349,51,49.65,Month-to-month,DSL,43.0,Medium Risk,49.65
96,71,66.85,One year,DSL,43.0,Medium Risk,66.85
1049,1,19.65,Month-to-month,No,43.0,Medium Risk,19.65
1374,45,84.35,Two year,DSL,43.0,Medium Risk,84.35
1246,45,105.15,Month-to-month,Fiber optic,43.0,Medium Risk,105.15
479,15,69.0,Month-to-month,Fiber optic,43.0,Medium Risk,69.0
290,24,76.1,Month-to-month,Fiber optic,43.0,Medium Risk,76.1
175,34,24.7,Month-to-month,No,42.0,Medium Risk,24.7
1119,70,59.5,Two year,DSL,42.0,Medium Risk,59.5
155,14,80.9,Month-to-month,Fiber optic,42.0,Medium Risk,80.9
653,17,24.8,Month-to-month,No,42.0,Medium Risk,24.8
1157,62,97.95,One year,Fiber optic,42.0,Medium Risk,97.95
288,8,74.5,Month-to-month,Fiber optic,42.0,Medium Risk,74.5
183,33,74.75,One year,DSL,42.0,Medium Risk,74.75
648,2,89.5,Month-to-month,Fiber optic,42.0,Medium Risk,89.5
229,47,85.3,Two year,DSL,42.0,Medium Risk,85.3
1330,22,56.25,One year,DSL,42.0,Medium Risk,56.25
686,51,24.6,One year,No,41.0,Medium Risk,24.6
239,16,19.75,Two year,No,41.0,Medium Risk,19.75
82,7,75.15,Month-to-month,Fiber optic,41.0,Medium Risk,75.15
906,4,56.4,Month-to-month,DSL,41.0,Medium Risk,56.4
1192,7,90.45,Month-to-month,Fiber optic,41.0,Medium Risk,90.45
1001,27,75.5,Month-to-month,Fiber optic,41.0,Medium Risk,75.5
222,1,20.2,One year,No,41.0,Medium Risk,20.2
273,20,107.05,Month-to-month,Fiber optic,41.0,Medium Risk,107.05
989,34,19.6,One year,No,41.0,Medium Risk,19.6
269,71,24.25,Two year,No,41.0,Medium Risk,24.25
93,65,111.05,Month-to-month,Fiber optic,41.0,Medium Risk,111.05
54,60,74.85,One year,DSL,41.0,Medium Risk,74.85
83,42,103.8,Month-to-month,Fiber optic,41.0,Medium Risk,103.8
700,66,63.3,Two year,DSL,40.0,Medium Risk,63.3
157,22,20.15,One year,No,40.0,Medium Risk,20.15
914,72,25.2,Two year,No,40.0,Medium Risk,25.2
5,8,99.65,Month-to-month,Fiber optic,40.0,Medium Risk,99.65
462,4,101.15,Month-to-month,Fiber optic,40.0,Medium Risk,101.15
1307,36,75.55,One year,DSL,40.0,Medium Risk,75.55
994,13,20.0,Two year,No,40.0,Medium Risk,20.0
77,8,54.65,Month-to-month,DSL,40.0,Medium Risk,54.65
1352,72,60.95,Two year,DSL,40.0,Medium Risk,60.95
783,1,52.2,Month-to-month,DSL,39.0,Medium Risk,52.2
1271,53,53.6,One year,DSL,39.0,Medium Risk,53.6
741,2,80.45,Month-to-month,Fiber optic,39.0,Medium Risk,80.45
423,44,25.7,One year,No,39.0,Medium Risk,25.7
1150,41,40.35,Month-to-month,DSL,39.0,Medium Risk,40.35
295,1,20.25,Month-to-month,No,39.0,Medium Risk,20.25
1190,38,104.85,One year,Fiber optic,39.0,Medium Risk,104.85
102,38,95.0,One year,Fiber optic,39.0,Medium Risk,95.0
857,1,50.8,Month-to-month,DSL,39.0,Medium Risk,50.8
